epoch,time,train_mse,train_l2,test_l2,learning_rate
117,24.88,0.002565,0.026477,0.035324,0.000500
118,23.97,0.002558,0.026418,0.035437,0.000500
119,23.98,0.002606,0.026699,0.035450,0.000500
120,24.01,0.002568,0.026505,0.035154,0.000500
Best model saved at epoch,120,with test_l2,0.035154
121,26.82,0.002472,0.025912,0.035278,0.000500
122,26.07,0.002490,0.026072,0.035234,0.000500
123,26.69,0.002480,0.025965,0.035079,0.000500
Best model saved at epoch,123,with test_l2,0.035079
124,24.76,0.002500,0.026147,0.035050,0.000500
Best model saved at epoch,124,with test_l2,0.035050
125,24.48,0.002523,0.026377,0.034723,0.000500
Best model saved at epoch,125,with test_l2,0.034723
126,25.29,0.002470,0.025911,0.034826,0.000500
127,26.96,0.002480,0.026145,0.034633,0.000500
Best model saved at epoch,127,with test_l2,0.034633
128,24.34,0.002423,0.025686,0.034891,0.000500
129,23.96,0.002546,0.026305,0.034776,0.000500
130,24.01,0.002423,0.025655,0.034918,0.000500
131,26.10,0.002437,0.025855,0.035271,0.000500
132,25.23,0.002424,0.025761,0.034241,0.000500
Best model saved at epoch,132,with test_l2,0.034241
133,24.16,0.002406,0.025708,0.034021,0.000500
Best model saved at epoch,133,with test_l2,0.034021
134,24.06,0.002319,0.025102,0.034471,0.000500
135,24.03,0.002398,0.025478,0.034890,0.000500
136,24.13,0.002334,0.025221,0.033676,0.000500
Best model saved at epoch,136,with test_l2,0.033676
137,27.09,0.002276,0.024850,0.034165,0.000500
138,25.93,0.002260,0.024732,0.034377,0.000500
139,24.34,0.002347,0.025373,0.034828,0.000500
140,24.89,0.002267,0.024860,0.033202,0.000500
Best model saved at epoch,140,with test_l2,0.033202
141,26.21,0.002296,0.024967,0.033461,0.000500
142,24.04,0.002235,0.024581,0.032971,0.000500
Best model saved at epoch,142,with test_l2,0.032971
143,24.18,0.002222,0.024567,0.033223,0.000500
144,24.43,0.002212,0.024518,0.033407,0.000500
145,23.99,0.002225,0.024673,0.033505,0.000500
146,24.22,0.002199,0.024428,0.033451,0.000500
147,24.73,0.002188,0.024372,0.032905,0.000500
Best model saved at epoch,147,with test_l2,0.032905
148,24.01,0.002184,0.024311,0.032729,0.000500
Best model saved at epoch,148,with test_l2,0.032729
149,24.16,0.002194,0.024375,0.032860,0.000500
150,24.00,0.002146,0.024062,0.032611,0.000500
Best model saved at epoch,150,with test_l2,0.032611
151,27.29,0.002150,0.024088,0.033533,0.000500
152,24.11,0.002242,0.024733,0.032520,0.000500
Best model saved at epoch,152,with test_l2,0.032520
153,26.64,0.002107,0.023897,0.032876,0.000500
154,27.01,0.002108,0.023925,0.032246,0.000500
Best model saved at epoch,154,with test_l2,0.032246
155,27.08,0.002145,0.024155,0.033495,0.000500
156,26.53,0.002211,0.024598,0.034860,0.000500
157,26.28,0.002074,0.023641,0.032291,0.000500
158,27.29,0.002045,0.023536,0.032286,0.000500
159,26.40,0.002129,0.024073,0.032900,0.000500
160,26.78,0.002123,0.024102,0.032632,0.000500
161,26.83,0.002101,0.023943,0.032622,0.000500
162,24.68,0.002016,0.023403,0.032731,0.000500
163,24.40,0.002043,0.023578,0.032036,0.000500
Best model saved at epoch,163,with test_l2,0.032036
164,26.73,0.002061,0.023645,0.032010,0.000500
Best model saved at epoch,164,with test_l2,0.032010
165,24.16,0.001987,0.023124,0.031849,0.000500
Best model saved at epoch,165,with test_l2,0.031849
166,24.62,0.002041,0.023508,0.031902,0.000500
167,24.28,0.002034,0.023513,0.031949,0.000500
168,24.29,0.002038,0.023585,0.032640,0.000500
169,24.08,0.001973,0.023129,0.031567,0.000500
Best model saved at epoch,169,with test_l2,0.031567
170,25.98,0.001991,0.023224,0.031825,0.000500
171,24.05,0.001961,0.022992,0.031521,0.000500
Best model saved at epoch,171,with test_l2,0.031521
172,24.22,0.001949,0.022946,0.031702,0.000500
173,24.52,0.001886,0.022501,0.031689,0.000500
174,24.11,0.001939,0.022925,0.031227,0.000500
Best model saved at epoch,174,with test_l2,0.031227
175,24.13,0.001903,0.022685,0.031766,0.000500
176,24.13,0.001949,0.023025,0.031673,0.000500
177,27.11,0.001984,0.023210,0.031856,0.000500
178,24.50,0.001951,0.023086,0.031906,0.000500
