epoch,time,train_mse,train_l2,test_l2,learning_rate
230,1.25,0.000004,0.002405,0.002664,0.000006
231,1.25,0.000004,0.002263,0.002567,0.000006
Best model saved at epoch,231,with test_l2,0.002567
232,1.26,0.000004,0.002312,0.002607,0.000006
233,1.25,0.000004,0.002353,0.002585,0.000006
234,1.24,0.000004,0.002287,0.002565,0.000006
Best model saved at epoch,234,with test_l2,0.002565
235,1.24,0.000004,0.002271,0.002644,0.000006
236,1.24,0.000004,0.002287,0.002599,0.000006
237,1.24,0.000004,0.002245,0.002635,0.000006
238,1.24,0.000004,0.002266,0.002648,0.000006
239,1.24,0.000004,0.002239,0.002566,0.000006
240,1.24,0.000004,0.002238,0.002685,0.000006
241,1.24,0.000004,0.002244,0.002561,0.000006
Best model saved at epoch,241,with test_l2,0.002561
242,1.25,0.000004,0.002232,0.002509,0.000006
Best model saved at epoch,242,with test_l2,0.002509
243,1.24,0.000004,0.002213,0.002551,0.000006
244,1.24,0.000004,0.002218,0.002641,0.000006
245,1.24,0.000004,0.002243,0.002536,0.000006
246,1.24,0.000004,0.002178,0.002485,0.000006
Best model saved at epoch,246,with test_l2,0.002485
247,1.23,0.000004,0.002196,0.002557,0.000006
248,1.23,0.000004,0.002185,0.002483,0.000006
Best model saved at epoch,248,with test_l2,0.002483
249,1.24,0.000004,0.002208,0.002593,0.000003
250,1.26,0.000004,0.002119,0.002429,0.000003
Best model saved at epoch,250,with test_l2,0.002429
251,1.27,0.000004,0.002094,0.002410,0.000003
Best model saved at epoch,251,with test_l2,0.002410
252,1.25,0.000004,0.002100,0.002452,0.000003
253,1.25,0.000004,0.002113,0.002465,0.000003
254,1.27,0.000004,0.002110,0.002456,0.000003
255,1.26,0.000004,0.002091,0.002438,0.000003
256,1.25,0.000004,0.002087,0.002425,0.000003
257,1.25,0.000004,0.002097,0.002427,0.000003
258,1.25,0.000004,0.002085,0.002417,0.000003
259,1.24,0.000004,0.002078,0.002419,0.000003
260,1.25,0.000004,0.002099,0.002448,0.000003
261,1.26,0.000004,0.002078,0.002439,0.000003
262,1.25,0.000004,0.002087,0.002384,0.000003
Best model saved at epoch,262,with test_l2,0.002384
263,1.25,0.000004,0.002077,0.002396,0.000003
264,1.26,0.000004,0.002087,0.002431,0.000003
265,1.25,0.000004,0.002073,0.002467,0.000003
266,1.24,0.000004,0.002099,0.002477,0.000003
267,1.25,0.000004,0.002093,0.002395,0.000003
268,1.28,0.000004,0.002049,0.002392,0.000003
269,1.26,0.000004,0.002064,0.002390,0.000003
270,1.26,0.000004,0.002036,0.002388,0.000003
271,1.25,0.000004,0.002030,0.002364,0.000003
Best model saved at epoch,271,with test_l2,0.002364
272,1.25,0.000004,0.002028,0.002393,0.000003
273,1.25,0.000004,0.002072,0.002402,0.000003
274,1.25,0.000004,0.002059,0.002400,0.000003
275,1.29,0.000004,0.002030,0.002341,0.000003
Best model saved at epoch,275,with test_l2,0.002341
276,1.25,0.000004,0.002067,0.002392,0.000003
277,1.25,0.000004,0.002053,0.002438,0.000003
278,1.26,0.000004,0.002019,0.002317,0.000003
Best model saved at epoch,278,with test_l2,0.002317
279,1.25,0.000004,0.002012,0.002382,0.000003
280,1.26,0.000004,0.002019,0.002344,0.000003
281,1.24,0.000004,0.002002,0.002387,0.000003
282,1.23,0.000004,0.001993,0.002350,0.000003
283,1.24,0.000004,0.002042,0.002329,0.000003
284,1.24,0.000004,0.001991,0.002365,0.000003
285,1.26,0.000004,0.002023,0.002310,0.000003
Best model saved at epoch,285,with test_l2,0.002310
286,1.24,0.000004,0.001978,0.002307,0.000003
Best model saved at epoch,286,with test_l2,0.002307
287,1.25,0.000004,0.001996,0.002334,0.000003
288,1.25,0.000004,0.001979,0.002325,0.000003
289,1.24,0.000004,0.002000,0.002390,0.000003
290,1.25,0.000004,0.001998,0.002350,0.000003
291,1.24,0.000004,0.001982,0.002386,0.000003
292,1.24,0.000004,0.001971,0.002318,0.000003
293,1.27,0.000004,0.001959,0.002299,0.000003
Best model saved at epoch,293,with test_l2,0.002299
294,1.26,0.000004,0.001970,0.002318,0.000003
295,1.24,0.000004,0.001982,0.002381,0.000003
296,1.24,0.000004,0.001967,0.002340,0.000003
297,1.25,0.000004,0.001996,0.002296,0.000003
Best model saved at epoch,297,with test_l2,0.002296
298,1.25,0.000004,0.001945,0.002335,0.000003
299,1.24,0.000004,0.001966,0.002388,0.000002
300,1.26,0.000004,0.001927,0.002286,0.000002
Best model saved at epoch,300,with test_l2,0.002286
301,1.25,0.000004,0.001919,0.002288,0.000002
302,1.24,0.000004,0.001938,0.002290,0.000002
303,1.25,0.000004,0.001909,0.002262,0.000002
Best model saved at epoch,303,with test_l2,0.002262
304,1.27,0.000004,0.001915,0.002255,0.000002
Best model saved at epoch,304,with test_l2,0.002255
305,1.24,0.000003,0.001898,0.002275,0.000002
306,1.25,0.000004,0.001918,0.002270,0.000002
307,1.27,0.000004,0.001899,0.002271,0.000002
308,1.25,0.000004,0.001894,0.002258,0.000002
309,1.26,0.000004,0.001892,0.002270,0.000002
310,1.26,0.000003,0.001896,0.002297,0.000002
311,1.24,0.000004,0.001901,0.002271,0.000002
312,1.24,0.000003,0.001897,0.002275,0.000002
313,1.24,0.000004,0.001892,0.002263,0.000002
314,1.24,0.000004,0.001883,0.002268,0.000002
315,1.24,0.000003,0.001877,0.002255,0.000002
Best model saved at epoch,315,with test_l2,0.002255
316,1.24,0.000004,0.001879,0.002242,0.000002
Best model saved at epoch,316,with test_l2,0.002242
317,1.25,0.000003,0.001886,0.002273,0.000002
318,1.24,0.000003,0.001879,0.002236,0.000002
Best model saved at epoch,318,with test_l2,0.002236
319,1.24,0.000004,0.001880,0.002236,0.000002
Best model saved at epoch,319,with test_l2,0.002236
320,1.25,0.000003,0.001871,0.002233,0.000002
Best model saved at epoch,320,with test_l2,0.002233
321,1.28,0.000003,0.001874,0.002222,0.000002
Best model saved at epoch,321,with test_l2,0.002222
322,1.24,0.000003,0.001873,0.002281,0.000002
323,1.24,0.000004,0.001880,0.002256,0.000002
324,1.25,0.000004,0.001879,0.002232,0.000002
325,1.25,0.000003,0.001867,0.002227,0.000002
