epoch,time,train_mse,train_l2,test_l2,learning_rate
92,1.69,6.441478e-08,3.587025e-02,3.357803e-02,1.000000e-03
Best model saved at epoch,92,with test_l2,3.357803e-02
93,1.80,5.642974e-08,3.372204e-02,3.509655e-02,1.000000e-03
94,1.79,5.793061e-08,3.403961e-02,3.247602e-02,1.000000e-03
Best model saved at epoch,94,with test_l2,3.247602e-02
95,1.68,4.916908e-08,3.137732e-02,3.717749e-02,1.000000e-03
96,1.76,5.026679e-08,3.181619e-02,3.354815e-02,1.000000e-03
97,1.93,4.915566e-08,3.146875e-02,3.261448e-02,1.000000e-03
98,1.94,5.094836e-08,3.198725e-02,3.320342e-02,1.000000e-03
99,1.73,6.166045e-08,3.497548e-02,3.392242e-02,1.000000e-03
100,1.89,6.412812e-08,3.567598e-02,3.193967e-02,1.000000e-03
Best model saved at epoch,100,with test_l2,3.193967e-02
101,1.75,5.391431e-08,3.291627e-02,3.186563e-02,1.000000e-03
Best model saved at epoch,101,with test_l2,3.186563e-02
102,1.78,4.976627e-08,3.152494e-02,3.166660e-02,1.000000e-03
Best model saved at epoch,102,with test_l2,3.166660e-02
103,2.07,4.588810e-08,3.043431e-02,3.253190e-02,1.000000e-03
104,1.59,5.222443e-08,3.236319e-02,3.215856e-02,1.000000e-03
105,1.76,4.828707e-08,3.131097e-02,3.698412e-02,1.000000e-03
106,1.69,5.544531e-08,3.331837e-02,3.452703e-02,1.000000e-03
107,1.94,4.976353e-08,3.157930e-02,3.152241e-02,1.000000e-03
Best model saved at epoch,107,with test_l2,3.152241e-02
108,1.78,4.566843e-08,3.032143e-02,3.190093e-02,1.000000e-03
109,1.89,5.118215e-08,3.208275e-02,3.466590e-02,1.000000e-03
110,2.00,5.612810e-08,3.340774e-02,3.571683e-02,1.000000e-03
111,2.04,4.749239e-08,3.092882e-02,3.002308e-02,1.000000e-03
Best model saved at epoch,111,with test_l2,3.002308e-02
112,1.87,4.417825e-08,2.991914e-02,3.406357e-02,1.000000e-03
113,1.85,4.793685e-08,3.112128e-02,3.173999e-02,1.000000e-03
114,1.71,4.522797e-08,3.022825e-02,3.670389e-02,1.000000e-03
115,1.81,4.383191e-08,2.983469e-02,3.125817e-02,1.000000e-03
116,1.89,4.832222e-08,3.112386e-02,3.136158e-02,1.000000e-03
117,1.83,4.510531e-08,3.007531e-02,3.160404e-02,1.000000e-03
118,1.87,4.768161e-08,3.096959e-02,3.138749e-02,1.000000e-03
119,1.98,4.586842e-08,3.034001e-02,3.258025e-02,1.000000e-03
120,2.00,4.998548e-08,3.177536e-02,3.299627e-02,1.000000e-03
121,1.77,4.740580e-08,3.089591e-02,3.126640e-02,1.000000e-03
122,1.77,4.258416e-08,2.932094e-02,3.122750e-02,1.000000e-03
123,1.67,4.226615e-08,2.914737e-02,3.460628e-02,1.000000e-03
124,1.81,5.084318e-08,3.184139e-02,3.125840e-02,1.000000e-03
125,2.08,4.317370e-08,2.950826e-02,3.135902e-02,1.000000e-03
126,2.02,4.175195e-08,2.910816e-02,3.414928e-02,1.000000e-03
127,2.12,5.058808e-08,3.183587e-02,3.489968e-02,1.000000e-03
128,1.98,5.265266e-08,3.226873e-02,3.322020e-02,1.000000e-03
129,1.86,4.125241e-08,2.885129e-02,3.274860e-02,1.000000e-03
130,1.99,4.384554e-08,2.957633e-02,2.977237e-02,1.000000e-03
Best model saved at epoch,130,with test_l2,2.977237e-02
131,1.89,4.575512e-08,3.018211e-02,2.863392e-02,1.000000e-03
Best model saved at epoch,131,with test_l2,2.863392e-02
132,1.77,3.927493e-08,2.827191e-02,2.973732e-02,1.000000e-03
133,2.21,4.704561e-08,3.075234e-02,2.904818e-02,1.000000e-03
134,1.82,3.843978e-08,2.775946e-02,2.956581e-02,1.000000e-03
135,2.00,6.512618e-08,3.570443e-02,2.991524e-02,1.000000e-03
136,1.85,4.521566e-08,3.006004e-02,3.009960e-02,1.000000e-03
137,1.92,3.976124e-08,2.834518e-02,2.804578e-02,1.000000e-03
Best model saved at epoch,137,with test_l2,2.804578e-02
138,1.95,3.899067e-08,2.806952e-02,2.929291e-02,1.000000e-03
139,1.93,4.174983e-08,2.903060e-02,3.311356e-02,1.000000e-03
140,1.80,4.433639e-08,2.985350e-02,2.994883e-02,1.000000e-03
141,2.02,3.933608e-08,2.813472e-02,2.920387e-02,1.000000e-03
142,2.18,4.110924e-08,2.888429e-02,3.032450e-02,1.000000e-03
143,2.08,4.153851e-08,2.891981e-02,3.291908e-02,1.000000e-03
144,1.90,3.623153e-08,2.714476e-02,3.101307e-02,1.000000e-03
145,1.91,4.486162e-08,3.013776e-02,2.846942e-02,1.000000e-03
146,2.12,3.766777e-08,2.762730e-02,2.832708e-02,1.000000e-03
147,1.98,3.971365e-08,2.827950e-02,2.867501e-02,1.000000e-03
148,1.91,3.908866e-08,2.810299e-02,2.917375e-02,1.000000e-03
149,1.79,4.182945e-08,2.886599e-02,2.779387e-02,1.000000e-03
Best model saved at epoch,149,with test_l2,2.779387e-02
150,1.95,3.854630e-08,2.796294e-02,2.976527e-02,1.000000e-03
151,1.82,3.438396e-08,2.636900e-02,2.951322e-02,1.000000e-03
152,2.09,3.586590e-08,2.687341e-02,3.078541e-02,1.000000e-03
153,1.92,3.909414e-08,2.808943e-02,2.905525e-02,1.000000e-03
154,1.88,4.286030e-08,2.930009e-02,2.804657e-02,1.000000e-03
155,1.90,3.625854e-08,2.704605e-02,2.791320e-02,1.000000e-03
156,1.81,3.757173e-08,2.751715e-02,2.973211e-02,1.000000e-03
157,2.04,3.719731e-08,2.733711e-02,2.894239e-02,1.000000e-03
158,1.83,3.767544e-08,2.755474e-02,3.593419e-02,1.000000e-03
159,1.72,3.798790e-08,2.770590e-02,3.114307e-02,1.000000e-03
160,1.92,3.835488e-08,2.790686e-02,2.861744e-02,1.000000e-03
161,2.06,3.747997e-08,2.750145e-02,2.852033e-02,1.000000e-03
162,1.65,3.447384e-08,2.649838e-02,2.648861e-02,1.000000e-03
Best model saved at epoch,162,with test_l2,2.648861e-02
163,1.92,3.426661e-08,2.632221e-02,3.366031e-02,1.000000e-03
164,1.96,4.389568e-08,2.942197e-02,2.713739e-02,1.000000e-03
165,1.94,3.230370e-08,2.559169e-02,2.720209e-02,1.000000e-03
166,1.75,3.497484e-08,2.659750e-02,2.765455e-02,1.000000e-03
167,1.86,3.186716e-08,2.539665e-02,2.674432e-02,1.000000e-03
168,1.89,3.476126e-08,2.646725e-02,2.701491e-02,1.000000e-03
169,1.64,3.377560e-08,2.611531e-02,2.628518e-02,1.000000e-03
Best model saved at epoch,169,with test_l2,2.628518e-02
170,1.76,3.387604e-08,2.628234e-02,2.802892e-02,1.000000e-03
171,2.07,3.599514e-08,2.691023e-02,3.231944e-02,1.000000e-03
172,1.82,3.743635e-08,2.741098e-02,2.908814e-02,1.000000e-03
173,1.89,3.391270e-08,2.624671e-02,2.797921e-02,1.000000e-03
174,1.79,3.562683e-08,2.686496e-02,2.638722e-02,1.000000e-03
175,1.91,3.490369e-08,2.657858e-02,2.726772e-02,1.000000e-03
176,2.02,3.306350e-08,2.594830e-02,2.921115e-02,1.000000e-03
177,1.91,3.289962e-08,2.579448e-02,3.230887e-02,1.000000e-03
178,1.79,3.413806e-08,2.618136e-02,2.588245e-02,1.000000e-03
Best model saved at epoch,178,with test_l2,2.588245e-02
179,1.88,3.259181e-08,2.574336e-02,2.611232e-02,1.000000e-03
180,1.89,3.171832e-08,2.534484e-02,2.644060e-02,1.000000e-03
181,1.71,3.578504e-08,2.681981e-02,2.662422e-02,1.000000e-03
182,1.86,3.348503e-08,2.597833e-02,2.505120e-02,1.000000e-03
Best model saved at epoch,182,with test_l2,2.505120e-02
183,1.79,3.573852e-08,2.680756e-02,2.725129e-02,1.000000e-03
184,1.84,3.235066e-08,2.553600e-02,2.571341e-02,1.000000e-03
185,1.82,3.282773e-08,2.575093e-02,2.556112e-02,1.000000e-03
186,1.94,3.706240e-08,2.721603e-02,3.299070e-02,1.000000e-03
187,1.47,4.001216e-08,2.827923e-02,2.645948e-02,1.000000e-03
